Input,Level - 0,Level - 1,Level - 2,Level - 3,Level - 4,Level - 5,Level - 6,Level - 7,Level - 8,Level - 9,Level - 10,Level - 11,Level - 12,Level - 13,Level - 14,Level - 15,Level - 16,Level - 17,Level - 18,Level - 19,Level - 20,Level - 21,Level - 22,Level - 23,Level - 24,Level - 25,Output
1011011,1011011,1011011,1011010,0011010,0011110,0011110,0111110,0110110,0110110,1110110,1100110,1100010,1100010,1000010,1001010,0001010,0001011,0001011,0101011,0100011,0100011,0000011,0001011,0001011,0011011,0011001,0011001
1011100,1011100,1011100,1011100,0011100,0011000,0011000,0111000,0110000,0110000,1110000,1100000,1100100,1100100,1000100,1001100,0001100,0001101,0001101,0101101,0100101,0100101,0000101,0001101,0001101,0011101,0011111,0011111
1011101,1011101,1011101,1011101,0011101,0011001,0011001,0111001,0110001,0110001,1110001,1100001,1100101,1100101,1000101,1001101,0001101,0001100,0001100,0101100,0100100,0100100,0000100,0001100,0001100,0011100,0011110,0011110
1011110,1011110,1011110,1011111,0011111,0011011,0011011,0111011,0110011,0110011,1110011,1100011,1100111,1100111,1000111,1001111,0001111,0001110,0001110,0101110,0100110,0100110,0000110,0001110,0001110,0011110,0011100,0011100
1011111,1011111,1001111,1001111,0001111,0001011,0001011,0101011,0100011,0100011,1100011,1110011,1110111,1110101,1010101,1011101,0011101,0011100,0011100,0111100,0110100,0110100,0010100,0011100,0011100,0001100,0001110,0001110
1100000,1100000,1100000,1100000,0100000,0100100,0100100,0000100,0001100,0001100,1001100,1011100,1011000,1011000,1111000,1110000,0110000,0110001,0110001,0010001,0011001,0011001,0111001,0110001,0110001,0100001,0100011,0100011
1100001,1100001,1100001,1100001,0100001,0100101,0100101,0000101,0001101,0001101,1001101,1011101,1011001,1011001,1111001,1110001,0110001,0110000,0110000,0010000,0011000,0011000,0111000,0110000,0110000,0100000,0100010,0100010
1100010,1100010,1100010,1100010,0100010,0100110,0100110,0000110,0001110,0001110,1001110,1011110,1011010,1011010,1111010,1110010,0110010,0110011,0110011,0010011,0011011,0011011,0111011,0110011,0110011,0100011,0100001,0100001
1100011,1100011,1100011,1100011,0100011,0100111,0100111,0000111,0001111,0001111,1001111,1011111,1011011,1011011,1111011,1110011,0110011,0110010,0110010,0010010,0011010,0011010,0111010,0110010,0110010,0100010,0100000,0100000
1100100,1100100,1100100,1100100,0100100,0100000,0100000,0000000,0001000,0001000,1001000,1011000,1011100,1011100,1111100,1110100,0110100,0110101,0110101,0010101,0011101,0011101,0111101,0110101,0110101,0100101,0100111,0100111
1100101,1100101,1100101,1100101,0100101,0100001,0100001,0000001,0001001,0001001,1001001,1011001,1011101,1011111,1111111,1110111,0110111,0110110,0110110,0010110,0011110,0011110,0111110,0110110,0110110,0100110,0100100,0100100
1100110,1100110,1100110,1100110,0100110,0100010,0100010,0000010,0001010,0001010,1001010,1011010,1011110,1011110,1111110,1110110,0110110,0110111,0110111,0010111,0011111,0011111,0111111,0110111,0110111,0100111,0100101,0100101
